Apellido,Nombre,Distrito,IniciaMandato,FinalizaMandato,Bloque
Giorgi,Melina,Santa Fe,2024-10-24,2025-12-09,Democracia para Siempre
Aveiro,Martin,Mendoza,2023-12-10,2027-12-09,Unión por la Patria
Almiron,Lisandro,Corrientes,2023-12-10,2027-12-09,La Libertad Avanza
Arrua,Alberto,Misiones,2023-12-10,2027-12-09,Innovación Federal
Vancsik,Daniel,Misiones,2023-12-10,2027-12-09,Innovación Federal
Arabia,Damian,Ciudad de Buenos Aires,2025-11-03,2027-12-09,La Libertad Avanza
Strada,Julia,Buenos Aires,2025-05-05,2027-12-09,Unión por la Patria
Coletta,Mariela,Ciudad de Buenos Aires,2025-12-10,2027-12-09,Provincias Unidas
Bordet,Gustavo,Entre Rios,2023-12-10,2027-12-09,Unión por la Patria
Ruiz,Yamila,Misiones,2023-12-10,2027-12-09,Innovación Federal
Vasquez,Patricia,Buenos Aires,2025-11-03,2027-12-09,La Libertad Avanza
Vega,Yolanda,Salta,2023-12-10,2027-12-09,Innovación Federal
Santillan Juarez Brahim,Juliana,Buenos Aires,2023-12-10,2027-12-09,La Libertad Avanza
Peluc,Jose,San Juan,2023-12-10,2027-12-09,La Libertad Avanza
Diez,Romina,Santa Fe,2023-12-10,2027-12-09,La Libertad Avanza
Bornoroni,Gabriel,Cordoba,2023-12-10,2027-12-09,La Libertad Avanza
Giudici,Silvana,Ciudad de Buenos Aires,2025-11-03,2027-12-09,La Libertad Avanza
Campero,Mariano,Tucuman,2025-11-19,2027-12-09,La Libertad Avanza
Monzon,Roxana,Buenos Aires,2023-12-10,2027-12-09,Unión por la Patria
Morchio,Francisco,Entre Rios,2025-12-10,2027-12-09,La Libertad Avanza
Araujo Hernandez,Jorge Neri,Tierra del Fuego,2023-12-10,2027-12-09,Unión por la Patria
Bongiovanni,Alejandro,Santa Fe,2025-12-01,2027-12-09,La Libertad Avanza
Ardohain,Martin,La Pampa,2023-12-10,2027-12-09,Pro
Picon Martinez,Nancy Viviana,San Juan,2023-12-10,2027-12-09,Produccion y Trabajo
Picat,Luis Albino,Cordoba,2025-11-19,2027-12-09,La Libertad Avanza
Avila,Fernanda,Catamarca,2025-12-10,2027-12-09,Elijo Catamarca
Glinski,Jose,Chubut,2023-12-10,2027-12-09,Unión por la Patria
Selva,Sabrina,Buenos Aires,2023-12-10,2027-12-09,Unión por la Patria
Gonzalez,Gerardo Gustavo,Formosa,2026-02-13,2027-12-09,Innovación Federal
Molle,Matias,Buenos Aires,2023-12-10,2027-12-09,Unión por la Patria
Fernandez Molero,Daiana,Ciudad de Buenos Aires,2023-12-10,2027-12-09,Pro
Avico,Belen,Cordoba,2025-11-07,2027-12-09,La Libertad Avanza
Arrieta,Lourdes Micaela,Mendoza,2025-12-10,2027-12-09,Provincias Unidas
D'alessandro,Carlos,San Luis,2025-08-22,2025-12-09,Coherencia
Pagano,Marcela Marina,Buenos Aires,2025-12-19,2027-12-09,Coherencia
Gomez,Jose,Santiago del Estero,2023-12-10,2027-12-09,Unión por la Patria
Marquez,Nadia,Neuquen,2023-12-10,2025-12-09,La Libertad Avanza
Benegas Lynch,Bertie,Buenos Aires,2023-12-10,2027-12-09,La Libertad Avanza
Santurio,Santiago,Buenos Aires,2023-12-10,2027-12-09,La Libertad Avanza
Castillo,Christian,Buenos Aires,2024-06-11,2025-12-09,Pts-Frente de Izquierda Unidad
Vallejos,Alfredo,Corrientes,2023-12-10,2024-07-15,Ucr - Unión Cívica Radical
Juliano,Pablo,Buenos Aires,2025-12-10,2027-12-09,Provincias Unidas
Ponce,Maria Celeste,Cordoba,2023-12-10,2027-12-09,La Libertad Avanza
Llano,Mercedes,Mendoza,2023-12-10,2027-12-09,La Libertad Avanza
Mayoraz,Nicolas,Santa Fe,2023-12-10,2027-12-09,La Libertad Avanza
Correa Llano,Facundo,Mendoza,2023-12-10,2027-12-09,La Libertad Avanza
Zago,Oscar,Ciudad de Buenos Aires,2024-04-12,2027-12-09,Mid - Movimiento de Integración y Desarrollo
Giuliano,Diego A.,Santa Fe,2023-12-10,2027-12-09,Unión por la Patria
Macyszyn,Lorena,Buenos Aires,2024-09-13,2027-12-09,La Libertad Avanza
Noblega,Sebastian,Catamarca,2025-12-10,2027-12-09,Elijo Catamarca
Zulli,Christian Alejandro,Corrientes,2023-12-10,2027-12-09,Unión por la Patria
Potenza,Luciana,Buenos Aires,2023-12-10,2027-12-09,Unión por la Patria
Bianchetti,Emmanuel,Misiones,2023-12-10,2027-12-09,Pro
Capozzi,Sergio Eduardo,Rio Negro,2025-12-10,2027-12-09,Provincias Unidas
Manrique,Mario,Buenos Aires,2023-12-10,2027-12-09,Unión por la Patria
Pokoik,Lorena,Ciudad de Buenos Aires,2023-12-10,2027-12-09,Unión por la Patria
Todero,Pablo,Neuquen,2023-12-10,2027-12-09,Unión por la Patria
Lemoine,Lilia,Buenos Aires,2023-12-10,2027-12-09,La Libertad Avanza
Chica,Jorge,San Juan,2023-12-10,2027-12-09,Unión por la Patria
Yeza,Martin,Buenos Aires,2023-12-10,2027-12-09,Pro
Freites,Andrea,Tierra del Fuego,2023-12-10,2027-12-09,Unión por la Patria
Bonacci,Rocio,Santa Fe,2023-12-10,2027-12-09,La Libertad Avanza
Falcone,Eduardo,Buenos Aires,2024-04-12,2027-12-09,Mid - Movimiento de Integración y Desarrollo
Carignano,Florencia,Santa Fe,2023-12-10,2027-12-09,Unión por la Patria
Villaverde,Lorena,Rio Negro,2023-12-10,2027-12-09,La Libertad Avanza
Ibañez,Maria Cecilia,Cordoba,2025-08-22,2027-12-09,La Libertad Avanza
Campitelli,Celia,Santiago del Estero,2023-12-10,2027-12-09,Unión por la Patria
Avila,Jorge Antonio,Chubut,2025-12-10,2027-12-09,Provincias Unidas
Montenegro,Guillermo,Buenos Aires,2023-12-10,2027-12-09,La Libertad Avanza
Orozco,Emilia,Salta,2023-12-13,2025-12-09,La Libertad Avanza
Quintar,Manuel,Jujuy,2023-12-10,2027-12-09,La Libertad Avanza
Huesen,Gerardo,Tucuman,2023-12-10,2027-12-09,La Libertad Avanza
Garrido,Jose Luis,Santa Cruz,2023-12-10,2027-12-09,Por Santa Cruz
Outes,Pablo,Salta,2023-12-10,2027-12-09,Innovación Federal
De Sensi,Maria Florencia,Buenos Aires,2023-12-10,2025-12-09,Pro
De Sensi,Maria Florencia,Buenos Aires,2025-12-10,2029-12-09,Pro
Treffinger,Cesar,Chubut,2023-12-10,2027-12-09,La Libertad Avanza
Moreno Ovalle,Julio,Salta,2023-12-13,2027-12-09,La Libertad Avanza
Moreno,Maria de los Angeles,San Juan,2023-12-11,2025-12-09,Produccion y Trabajo
Pauli,Santiago,Tierra del Fuego,2023-12-10,2027-12-09,La Libertad Avanza
Garcia,Carlos,Chaco,2023-12-10,2027-12-09,La Libertad Avanza
Menem,Martin,La Rioja,2023-12-10,2027-12-09,La Libertad Avanza
Paulon,Esteban,Santa Fe,2025-12-10,2027-12-09,Provincias Unidas
Torres,Alejandra,Cordoba,2025-12-10,2027-12-09,Provincias Unidas
Razzini,Veronica,Santa Fe,2025-12-01,2027-12-09,La Libertad Avanza
Benedit,Beltran,Entre Rios,2023-12-10,2027-12-09,La Libertad Avanza
Ferreyra,Alida,Ciudad de Buenos Aires,2024-01-31,2027-12-09,La Libertad Avanza
Ali,Ernesto Pipi,San Luis,2024-01-31,2027-12-09,Unión por la Patria
Biasi,Vanina,Ciudad de Buenos Aires,2024-06-27,2025-07-02,Partido Obrero -Frente de Izquierda y de Trabajadores -Unida
Tournier,Jose Federico,Corrientes,2025-11-19,2027-12-09,La Libertad Avanza
Ballejos,Nancy,Entre Rios,2024-09-11,2025-12-09,Pro
Garramuño,Ricardo,Tierra del Fuego,2025-02-11,2025-12-09,Somos Fueguinos
Sanchez Wrba,Javier,Buenos Aires,2025-12-10,2025-12-09,Pro
Sanchez Wrba,Javier,Buenos Aires,2025-12-10,2029-12-09,Pro
Ripoll,Vilma,Buenos Aires,2025-04-21,2025-12-09,Mst - Frente de Izquierda y Trabajadores Unidad
De Mendieta,Mercedes,Ciudad de Buenos Aires,2025-07-03,2025-12-09,Izquierda Socialista Fit-Unidad
Prades,C. Facundo,Santa Cruz,2025-09-17,2025-12-09,Por Santa Cruz
Andreussi,Barbara,Jujuy,2025-12-10,2029-12-09,La Libertad Avanza
Palladino,Claudia Maria,Catamarca,2025-12-10,2029-12-09,Unión por la Patria
Ravera,Valentina,Santa Fe,2025-12-10,2029-12-09,La Libertad Avanza
Pellegrini,Agustin,Santa Fe,2025-12-10,2029-12-09,La Libertad Avanza
Longo,Johanna Sabrina,Buenos Aires,2025-12-10,2029-12-09,La Libertad Avanza
Molinuevo,Soledad,Tucuman,2025-12-10,2029-12-09,La Libertad Avanza
Soldano,Laura,Cordoba,2025-12-10,2029-12-09,La Libertad Avanza
Carrancio,Alejandro,Buenos Aires,2025-12-10,2029-12-09,La Libertad Avanza
Humenuk,Gladys,Buenos Aires,2025-12-10,2029-12-09,La Libertad Avanza
Aguero,Guillermo Cesar,Chaco,2025-12-10,2029-12-09,Ucr - Unión Cívica Radical
Roberto,Santiago Luis,Ciudad de Buenos Aires,2025-12-10,2029-12-09,Unión por la Patria
Lopez Pasquali,Cecilia,Santiago del Estero,2025-12-10,2029-12-09,Unión por la Patria
Giampieri,Antonela,Ciudad de Buenos Aires,2025-12-10,2029-12-09,Pro
Gonzalez Estevarena,Maria Luisa,Buenos Aires,2025-12-10,2029-12-09,La Libertad Avanza
Almena,Carlos Alberto,San Luis,2025-12-10,2029-12-09,La Libertad Avanza
Lluch,Enrique,Cordoba,2025-12-10,2029-12-09,La Libertad Avanza
Velazquez,M. Elena,Buenos Aires,2025-12-10,2029-12-09,Unión por la Patria
Campora,Lucia,Ciudad de Buenos Aires,2025-12-10,2029-12-09,Unión por la Patria
Reichardt,Karen,Buenos Aires,2025-12-10,2029-12-09,La Libertad Avanza
Ferran,Abelardo,La Pampa,2025-12-10,2029-12-09,Unión por la Patria
Niveyro,Miriam,Buenos Aires,2025-12-10,2029-12-09,La Libertad Avanza
Alvarez,Claudio,San Luis,2026-02-13,2027-12-09,Innovación Federal
Vera,Andrea Fernanda,Buenos Aires,2025-12-10,2029-12-09,La Libertad Avanza
Trotta,Nicolas Alfredo,Buenos Aires,2025-12-10,2029-12-09,Unión por la Patria
Pareja,Sebastian,Buenos Aires,2025-12-10,2029-12-09,La Libertad Avanza
Zigaran,Maria Ines,Jujuy,2025-12-10,2029-12-09,Provincias Unidas
Borgatta,Alejandrina,Santa Fe,2025-12-10,2029-12-09,Unión por la Patria
Torres,Ruben Dario,Buenos Aires,2025-12-10,2029-12-09,La Libertad Avanza
Andino,Cristian,San Juan,2025-12-10,2029-12-09,Unión por la Patria
Gonzalez,Diogenes Ignacio,Corrientes,2025-12-10,2029-12-09,Ucr - Unión Cívica Radical
Montenegro,Juan Pablo,Santa Fe,2025-12-10,2029-12-09,La Libertad Avanza
Flores,Maria Gabriela,Salta,2025-12-10,2029-12-09,La Libertad Avanza
Leone,Andres,Ciudad de Buenos Aires,2025-12-10,2029-12-09,La Libertad Avanza
Bruno,Eliana,Salta,2025-12-10,2027-12-09,La Libertad Avanza
Mukdise,Jorge,Santiago del Estero,2025-12-10,2029-12-09,Unión por la Patria
Grabois,Juan,Buenos Aires,2025-12-10,2029-12-09,Unión por la Patria
Dolce,Sergio,Chaco,2025-12-10,2029-12-09,Unión por la Patria
Diaz,Fernanda,Buenos Aires,2025-12-10,2029-12-09,Unión por la Patria
Schneider,Dario,Entre Rios,2025-12-10,2029-12-09,Ucr - Unión Cívica Radical
Maureira,Karina,Neuquen,2025-12-10,2029-12-09,La Neuquinidad
Noguera,Javier,Tucuman,2025-12-10,2029-12-09,Independencia
Campo,Julieta Marisol,Chaco,2025-12-10,2029-12-09,Unión por la Patria
Galmarini,Sebastian,Buenos Aires,2025-12-10,2029-12-09,Unión por la Patria
Gonzales,Alfredo,Jujuy,2025-12-10,2029-12-09,La Libertad Avanza
Becerra,Monica,San Luis,2025-12-10,2029-12-09,La Libertad Avanza
Brizuela,Adrian,Catamarca,2025-12-10,2029-12-09,La Libertad Avanza
Ojeda,Joaquin,Buenos Aires,2025-12-10,2029-12-09,La Libertad Avanza
Herrera Ahuad,Oscar A.,Misiones,2025-12-10,2029-12-09,Innovación Federal
Lanesan Sancho,Moira,Santa Cruz,2025-12-10,2029-12-09,Unión por la Patria
Mango,Marcelo,Rio Negro,2025-12-10,2027-12-09,Unión por la Patria
Gruber,Maura,Misiones,2025-12-10,2029-12-09,La Libertad Avanza
Fernandez,Jorge,San Luis,2025-12-12,2029-12-09,Primero San Luis
Basualdo,Carolina,Cordoba,2025-12-10,2029-12-09,Provincias Unidas
Hartfield,Diego,Misiones,2025-12-10,2029-12-09,La Libertad Avanza
Goitia,Rosario,Chaco,2025-12-10,2029-12-09,La Libertad Avanza
Felix,Emir,Mendoza,2025-12-10,2029-12-09,Unión por la Patria
Tomassoni,Yamile,Santa Fe,2025-12-10,2029-12-09,La Libertad Avanza
Visconti,Gino,La Rioja,2025-12-10,2029-12-09,La Libertad Avanza
Frias,Maira,Chubut,2025-12-10,2029-12-09,La Libertad Avanza
Serquis,Adriana Cristina,Rio Negro,2025-12-10,2029-12-09,Unión por la Patria
Gallardo,Maria Virginia,Corrientes,2025-12-10,2029-12-09,La Libertad Avanza
Michel,Guillermo,Entre Rios,2025-12-10,2029-12-09,Unión por la Patria
Farias,Pablo,Santa Fe,2025-12-10,2029-12-09,Provincias Unidas
Miño,Fernanda,Buenos Aires,2025-12-10,2029-12-09,Unión por la Patria
Luque,Juan Pablo,Chubut,2025-12-10,2029-12-09,Unión por la Patria
Tepp,Caren,Santa Fe,2025-12-10,2029-12-09,Unión por la Patria
Barbur,Marcelo,Santiago del Estero,2025-12-10,2029-12-09,Unión por la Patria
Marclay,Marianela,Entre Rios,2025-12-10,2029-12-09,Unión por la Patria
Castelnuovo,Giselle,Buenos Aires,2025-12-10,2029-12-09,La Libertad Avanza
Andrade,Javier,Ciudad de Buenos Aires,2025-12-10,2027-12-09,Unión por la Patria
Tita,Paulo Agustin,Tierra del Fuego,2025-12-10,2029-12-09,Unión por la Patria
Petrovich,Maria Lorena,Buenos Aires,2025-12-10,2027-12-09,La Libertad Avanza
Riesco,Gaston,Neuquen,2025-12-10,2029-12-09,La Libertad Avanza
Figliuolo,Sergio,Buenos Aires,2025-12-10,2029-12-09,La Libertad Avanza
Laumann,Andres Ariel,Entre Rios,2025-12-10,2029-12-09,La Libertad Avanza
Holzman,Patricia,Ciudad de Buenos Aires,2025-12-10,2029-12-09,La Libertad Avanza
Rodriguez,Miguel,Tierra del Fuego,2025-12-10,2029-12-09,La Libertad Avanza
Ravier,Adrian,La Pampa,2025-12-10,2029-12-09,La Libertad Avanza
Roca,Gonzalo,Cordoba,2025-12-10,2029-12-09,La Libertad Avanza
Monguillot,Fernando,Catamarca,2025-12-10,2029-12-09,Elijo Catamarca
Hadad,Raul,Corrientes,2025-12-10,2029-12-09,Unión por la Patria
Salzmann,Marina Dorotea,Buenos Aires,2025-12-10,2029-12-09,Unión por la Patria
Urien,Hernan,Buenos Aires,2025-12-10,2029-12-09,La Libertad Avanza
Biella,Bernardo,Salta,2025-12-10,2029-12-09,Innovación Federal
Moyano,Hugo Antonio,Buenos Aires,2025-12-10,2029-12-09,Unión por la Patria
Pitrola,Nestor,Buenos Aires,2026-04-27,2026-04-27,Partido Obrero en el Frente de Izquierda y de Trabajadores
Jaime Quiroga,Carlos Gustavo,San Juan,2025-12-10,2029-12-09,Produccion y Trabajo
Molina,Juan Carlos,Santa Cruz,2025-12-10,2029-12-09,Unión por la Patria
Mondaca,Soledad,Neuquen,2025-12-10,2029-12-09,La Libertad Avanza
Metral Asensio,Julieta,Mendoza,2025-12-10,2029-12-09,La Libertad Avanza
Guzman,Jairo,Santa Cruz,2025-12-10,2029-12-09,La Libertad Avanza
Garcia,Alvaro,Buenos Aires,2025-12-10,2029-12-09,La Libertad Avanza
Pelli,Federico Agustin,Tucuman,2025-12-10,2029-12-09,La Libertad Avanza
Patiño Brizuela,Marcos,Cordoba,2025-12-10,2029-12-09,La Libertad Avanza
Muñoz,Gabriela Luciana,Neuquen,2025-12-10,2027-12-09,La Libertad Avanza
Fargosi,Alejandro,Ciudad de Buenos Aires,2025-12-10,2029-12-09,La Libertad Avanza
De Andreis,Fernando,Ciudad de Buenos Aires,2025-12-10,2029-12-09,Pro
Chiconi,Abel,San Juan,2025-12-10,2029-12-09,La Libertad Avanza
Basualdo,Atilio,Formosa,2025-12-18,2029-12-09,La Libertad Avanza
