id_canonico,id_absorbido,nombre_canonico,nombre_absorbido,votos_canonico,votos_absorbido,camaras,distrito,fuentes_canonico,fuentes_absorbido,grupo
leg:e4212563a09b,leg:8ac4e8af86f2,ASCARATE Lidia,"Ascarate, Lidia Ines",31,21,diputados,TUCUMAN,ckan_diputados,argentinadatos,1-CASI SEGURO (mismo distrito + fuentes disjuntas)
leg:6c0f76d4c867,leg:c86e66c7fe50,VARA Jorge Alberto,"Vara, Jorge",31,21,diputados,CORRIENTES,ckan_diputados,argentinadatos,1-CASI SEGURO (mismo distrito + fuentes disjuntas)
leg:fc68188d51b6,leg:cb2cbcc587c9,FERNANDEZ Eduardo Gabriel,"Fernandez, Eduardo",31,21,diputados,CORDOBA,ckan_diputados,argentinadatos,1-CASI SEGURO (mismo distrito + fuentes disjuntas)
leg:8a79231478d0,leg:3206e737980b,VILAR Daniela,"Vilar, Daniela Marina",31,4,diputados,BUENOS AIRES,ckan_diputados,argentinadatos,1-CASI SEGURO (mismo distrito + fuentes disjuntas)
leg:1e5401fb3e8d,leg:f897af3d1b97,"BIANCHI SILVESTRE, Marcela","Bianchi Silvestre, Marcela Alejandra",1059,216,diputados,BUENOS AIRES,decada_votada,argentinadatos,"3-PROBABLE (sin distrito, fuentes disjuntas)"
leg:e693d138adfe,leg:9dddc1546a55,"CAPOS, Liliana Delia","CAPOS, LILIANA",1005,17,senado,TIERRA DEL FUEGO,decada_votada,argentinadatos,"3-PROBABLE (sin distrito, fuentes disjuntas)"
leg:677a6e882c56,leg:e74a0d47c255,"MARTINEZ GARBINO, Emilio","Martinez Garbino, Emilio Raúl",842,133,diputados,ENTRE RIOS,decada_votada,argentinadatos,"3-PROBABLE (sin distrito, fuentes disjuntas)"
leg:a5e09bcfcdfa,leg:83e5d7f70468,"SANTANDER, Mario","Santander, Mario Armando",842,119,diputados,LA RIOJA,decada_votada,argentinadatos,"3-PROBABLE (sin distrito, fuentes disjuntas)"
leg:9620a2a748c9,leg:b50a357ff51a,"ACUÑA KUNZ, Juan","Acuña Kunz, Juan Erwin",842,107,diputados,SANTA CRUZ,decada_votada,argentinadatos,"3-PROBABLE (sin distrito, fuentes disjuntas)"
leg:2f97e790d2ef,leg:4bc90a72c08e,"ZANCADA, Pablo","Zancada, Pablo Ventura",842,107,diputados,SANTA FE,decada_votada,argentinadatos,"3-PROBABLE (sin distrito, fuentes disjuntas)"
leg:d8482c1686f1,leg:72951ac5f284,"FABRIS, Luciano","Fabris, Luciano Rafael",842,107,diputados,CHACO,decada_votada,argentinadatos,"3-PROBABLE (sin distrito, fuentes disjuntas)"
leg:e8ac4c468eeb,leg:45866604e936,"GINZBURG, Nora","Ginzburg, Nora Raquel",842,107,diputados,CABA,decada_votada,argentinadatos,"3-PROBABLE (sin distrito, fuentes disjuntas)"
leg:74e5b959406d,leg:122ca1dc302b,"PASTORIZA, Eduardo","Pastoriza, Eduardo Antonio",842,107,diputados,CATAMARCA,decada_votada,argentinadatos,"3-PROBABLE (sin distrito, fuentes disjuntas)"
